text,arrayWords,arrayFeatures,arrayScaledFeatures
"Rabbit returning, splendidly dressed, with a pair of white kid gloves","[rabbit, returning,, splendidly, dressed,, with, a, pair, of, white, kid, gloves]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
in one hand and a large fan in the other: he came trotting along in a,"[in, one, hand, and, a, large, fan, in, the, other:, he, came, trotting, along, in, a]","[69.0,16.0]","[0.8954984394265252,1.4023978677330722]"
"great hurry, muttering to himself as he came, “Oh! the Duchess, the","[great, hurry,, muttering, to, himself, as, he, came,, “oh!, the, duchess,, the]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
Duchess! Oh! won’t she be savage if I’ve kept her waiting!” Alice felt,"[duchess!, oh!, won’t, she, be, savage, if, i’ve, kept, her, waiting!”, alice, felt]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"so desperate that she was ready to ask help of any one; so, when the","[so, desperate, that, she, was, ready, to, ask, help, of, any, one;, so,, when, the]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
"Rabbit came near her, she began, in a low, timid voice, “If you please,","[rabbit, came, near, her,, she, began,, in, a, low,, timid, voice,, “if, you, please,]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"sir—” The Rabbit started violently, dropped the white kid gloves and","[sir—”, the, rabbit, started, violently,, dropped, the, white, kid, gloves, and]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
"the fan, and skurried away into the darkness as hard as he could go.","[the, fan,, and, skurried, away, into, the, darkness, as, hard, as, he, could, go.]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Alice took up the fan and gloves, and, as the hall was very hot, she","[alice, took, up, the, fan, and, gloves,, and,, as, the, hall, was, very, hot,, she]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
"kept fanning herself all the time she went on talking: “Dear, dear! How","[kept, fanning, herself, all, the, time, she, went, on, talking:, “dear,, dear!, how]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
queer everything is to-day! And yesterday things went on just as usual.,"[queer, everything, is, to-day!, and, yesterday, things, went, on, just, as, usual.]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
I wonder if I’ve been changed in the night? Let me think: was I the,"[i, wonder, if, i’ve, been, changed, in, the, night?, let, me, think:, was, i, the]","[67.0,15.0]","[0.8276122499827785,1.2204272491184758]"
same when I got up this morning? I almost think I can remember feeling,"[same, when, i, got, up, this, morning?, i, almost, think, i, can, remember, feeling]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"a little different. But if I’m not the same, the next question is, Who","[a, little, different., but, if, i’m, not, the, same,, the, next, question, is,, who]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"in the world am I? Ah, _that’s_ the great puzzle!” And she began","[in, the, world, am, i?, ah,, _that’s_, the, great, puzzle!”, and, she, began]","[64.0,13.0]","[0.7257829658171584,0.8564860118892829]"
thinking over all the children she knew that were of the same age as,"[thinking, over, all, the, children, she, knew, that, were, of, the, same, age, as]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"herself, to see if she could have been changed for any of them.","[herself,, to, see, if, she, could, have, been, changed, for, any, of, them.]","[63.0,13.0]","[0.6918398710952851,0.8564860118892829]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I’m sure I’m not Ada,” she said, “for her hair goes in such long","[“i’m, sure, i’m, not, ada,”, she, said,, “for, her, hair, goes, in, such, long]","[65.0,14.0]","[0.7597260605390318,1.0384566305038794]"
"ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t","[ringlets,, and, mine, doesn’t, go, in, ringlets, at, all;, and, i’m, sure, i, can’t]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"be Mabel, for I know all sorts of things, and she, oh! she knows such a","[be, mabel,, for, i, know, all, sorts, of, things,, and, she,, oh!, she, knows, such, a]","[71.0,16.0]","[0.963384628870272,1.4023978677330722]"
"very little! Besides, _she’s_ she, and _I’m_ I, and—oh dear, how","[very, little!, besides,, _she’s_, she,, and, _i’m_, i,, and—oh, dear,, how]","[64.0,11.0]","[0.7257829658171584,0.49254477466009]"
puzzling it all is! I’ll try if I know all the things I used to know.,"[puzzling, it, all, is!, i’ll, try, if, i, know, all, the, things, i, used, to, know.]","[69.0,16.0]","[0.8954984394265252,1.4023978677330722]"
"Let me see: four times five is twelve, and four times six is thirteen,","[let, me, see:, four, times, five, is, twelve,, and, four, times, six, is, thirteen,]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
and four times seven is—oh dear! I shall never get to twenty at that,"[and, four, times, seven, is—oh, dear!, i, shall, never, get, to, twenty, at, that]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"rate! However, the Multiplication Table doesn’t signify: let’s try","[rate!, however,, the, multiplication, table, doesn’t, signify:, let’s, try]","[66.0,9.0]","[0.7936691552609052,0.1286035374308971]"
"Geography. London is the capital of Paris, and Paris is the capital of","[geography., london, is, the, capital, of, paris,, and, paris, is, the, capital, of]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"Rome, and Rome—no, _that’s_ all wrong, I’m certain! I must have been","[rome,, and, rome—no,, _that’s_, all, wrong,, i’m, certain!, i, must, have, been]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
changed for Mabel! I’ll try and say ‘_How doth the little_—’” and she,"[changed, for, mabel!, i’ll, try, and, say, ‘_how, doth, the, little_—’”, and, she]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"crossed her hands on her lap as if she were saying lessons, and began","[crossed, her, hands, on, her, lap, as, if, she, were, saying, lessons,, and, began]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"to repeat it, but her voice sounded hoarse and strange, and the words","[to, repeat, it,, but, her, voice, sounded, hoarse, and, strange,, and, the, words]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
did not come the same as they used to do:—,"[did, not, come, the, same, as, they, used, to, do:—]","[42.0,10.0]","[-0.02096511806405548,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“How doth the little crocodile,"[“how, doth, the, little, crocodile]","[30.0,5.0]","[-0.4282822547265358,-0.5992789370274886]"
"Improve his shining tail,","[, , , , improve, his, shining, tail,]","[29.0,8.0]","[-0.46222534944840915,-0.053367081183699316]"
And pour the waters of the Nile,"[and, pour, the, waters, of, the, nile]","[31.0,7.0]","[-0.39433916000466246,-0.23533769979829575]"
On every golden scale!,"[, , , , on, every, golden, scale!]","[26.0,8.0]","[-0.5640546336140292,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“How cheerfully he seems to grin,","[“how, cheerfully, he, seems, to, grin,]","[33.0,6.0]","[-0.3264529705609157,-0.4173083184128922]"
"How neatly spread his claws,","[, , , , how, neatly, spread, his, claws,]","[32.0,9.0]","[-0.36039606528278906,0.1286035374308971]"
And welcome little fishes in,"[and, welcome, little, fishes, in]","[28.0,5.0]","[-0.4961684441702825,-0.5992789370274886]"
With gently smiling jaws!”,"[, , , , with, gently, smiling, jaws!”]","[30.0,8.0]","[-0.4282822547265358,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I’m sure those are not the right words,” said poor Alice, and her eyes","[“i’m, sure, those, are, not, the, right, words,”, said, poor, alice,, and, her, eyes]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"filled with tears again as she went on, “I must be Mabel after all, and","[filled, with, tears, again, as, she, went, on,, “i, must, be, mabel, after, all,, and]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"I shall have to go and live in that poky little house, and have next to","[i, shall, have, to, go, and, live, in, that, poky, little, house,, and, have, next, to]","[71.0,16.0]","[0.963384628870272,1.4023978677330722]"
"no toys to play with, and oh! ever so many lessons to learn! No, I’ve","[no, toys, to, play, with,, and, oh!, ever, so, many, lessons, to, learn!, no,, i’ve]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"made up my mind about it; if I’m Mabel, I’ll stay down here! It’ll be","[made, up, my, mind, about, it;, if, i’m, mabel,, i’ll, stay, down, here!, it’ll, be]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"no use their putting their heads down and saying ‘Come up again, dear!’","[no, use, their, putting, their, heads, down, and, saying, ‘come, up, again,, dear!’]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"I shall only look up and say ‘Who am I then? Tell me that first, and","[i, shall, only, look, up, and, say, ‘who, am, i, then?, tell, me, that, first,, and]","[68.0,16.0]","[0.8615553447046519,1.4023978677330722]"
"then, if I like being that person, I’ll come up: if not, I’ll stay down","[then,, if, i, like, being, that, person,, i’ll, come, up:, if, not,, i’ll, stay, down]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"here till I’m somebody else’—but, oh dear!” cried Alice, with a sudden","[here, till, i’m, somebody, else’—but,, oh, dear!”, cried, alice,, with, a, sudden]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"burst of tears, “I do wish they _would_ put their heads down! I am so","[burst, of, tears,, “i, do, wish, they, _would_, put, their, heads, down!, i, am, so]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
_very_ tired of being all alone here!”,"[_very_, tired, of, being, all, alone, here!”]","[38.0,7.0]","[-0.15673749695154893,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"As she said this she looked down at her hands, and was surprised to see","[as, she, said, this, she, looked, down, at, her, hands,, and, was, surprised, to, see]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
that she had put on one of the Rabbit’s little white kid gloves while,"[that, she, had, put, on, one, of, the, rabbit’s, little, white, kid, gloves, while]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
she was talking. “How _can_ I have done that?” she thought. “I must be,"[she, was, talking., “how, _can_, i, have, done, that?”, she, thought., “i, must, be]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
growing small again.” She got up and went to the table to measure,"[growing, small, again.”, she, got, up, and, went, to, the, table, to, measure]","[65.0,13.0]","[0.7597260605390318,0.8564860118892829]"
"herself by it, and found that, as nearly as she could guess, she was","[herself, by, it,, and, found, that,, as, nearly, as, she, could, guess,, she, was]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"now about two feet high, and was going on shrinking rapidly: she soon","[now, about, two, feet, high,, and, was, going, on, shrinking, rapidly:, she, soon]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"found out that the cause of this was the fan she was holding, and she","[found, out, that, the, cause, of, this, was, the, fan, she, was, holding,, and, she]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"dropped it hastily, just in time to avoid shrinking away altogether.","[dropped, it, hastily,, just, in, time, to, avoid, shrinking, away, altogether.]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“That _was_ a narrow escape!” said Alice, a good deal frightened at the","[“that, _was_, a, narrow, escape!”, said, alice,, a, good, deal, frightened, at, the]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"sudden change, but very glad to find herself still in existence; “and","[sudden, change,, but, very, glad, to, find, herself, still, in, existence;, “and]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
now for the garden!” and she ran with all speed back to the little,"[now, for, the, garden!”, and, she, ran, with, all, speed, back, to, the, little]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"door: but, alas! the little door was shut again, and the little golden","[door:, but,, alas!, the, little, door, was, shut, again,, and, the, little, golden]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"key was lying on the glass table as before, “and things are worse than","[key, was, lying, on, the, glass, table, as, before,, “and, things, are, worse, than]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"ever,” thought the poor child, “for I never was so small as this","[ever,”, thought, the, poor, child,, “for, i, never, was, so, small, as, this]","[64.0,13.0]","[0.7257829658171584,0.8564860118892829]"
"before, never! And I declare it’s too bad, that it is!”","[before,, never!, and, i, declare, it’s, too, bad,, that, it, is!”]","[55.0,11.0]","[0.4202951133202982,0.49254477466009]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"As she said these words her foot slipped, and in another moment,","[as, she, said, these, words, her, foot, slipped,, and, in, another, moment,]","[64.0,12.0]","[0.7257829658171584,0.6745153932746865]"
splash! she was up to her chin in salt water. Her first idea was that,"[splash!, she, was, up, to, her, chin, in, salt, water., her, first, idea, was, that]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"she had somehow fallen into the sea, “and in that case I can go back by","[she, had, somehow, fallen, into, the, sea,, “and, in, that, case, i, can, go, back, by]","[71.0,16.0]","[0.963384628870272,1.4023978677330722]"
"railway,” she said to herself. (Alice had been to the seaside once in","[railway,”, she, said, to, herself., (alice, had, been, to, the, seaside, once, in]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"her life, and had come to the general conclusion, that wherever you go","[her, life,, and, had, come, to, the, general, conclusion,, that, wherever, you, go]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
to on the English coast you find a number of bathing machines in the,"[to, on, the, english, coast, you, find, a, number, of, bathing, machines, in, the]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"sea, some children digging in the sand with wooden spades, then a row","[sea,, some, children, digging, in, the, sand, with, wooden, spades,, then, a, row]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"of lodging houses, and behind them a railway station.) However, she","[of, lodging, houses,, and, behind, them, a, railway, station.), however,, she]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
soon made out that she was in the pool of tears which she had wept when,"[soon, made, out, that, she, was, in, the, pool, of, tears, which, she, had, wept, when]","[71.0,16.0]","[0.963384628870272,1.4023978677330722]"
she was nine feet high.,"[she, was, nine, feet, high.]","[23.0,5.0]","[-0.6658839177796493,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I wish I hadn’t cried so much!” said Alice, as she swam about, trying","[“i, wish, i, hadn’t, cried, so, much!”, said, alice,, as, she, swam, about,, trying]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"to find her way out. “I shall be punished for it now, I suppose, by","[to, find, her, way, out., “i, shall, be, punished, for, it, now,, i, suppose,, by]","[67.0,15.0]","[0.8276122499827785,1.2204272491184758]"
"being drowned in my own tears! That _will_ be a queer thing, to be","[being, drowned, in, my, own, tears!, that, _will_, be, a, queer, thing,, to, be]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"sure! However, everything is queer to-day.”","[sure!, however,, everything, is, queer, to-day.”]","[43.0,6.0]","[0.012977976657817879,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Just then she heard something splashing about in the pool a little way,"[just, then, she, heard, something, splashing, about, in, the, pool, a, little, way]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"off, and she swam nearer to make out what it was: at first she thought","[off,, and, she, swam, nearer, to, make, out, what, it, was:, at, first, she, thought]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
"it must be a walrus or hippopotamus, but then she remembered how small","[it, must, be, a, walrus, or, hippopotamus,, but, then, she, remembered, how, small]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"she was now, and she soon made out that it was only a mouse that had","[she, was, now,, and, she, soon, made, out, that, it, was, only, a, mouse, that, had]","[68.0,16.0]","[0.8615553447046519,1.4023978677330722]"
slipped in like herself.,"[slipped, in, like, herself.]","[24.0,4.0]","[-0.631940823057776,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Would it be of any use, now,” thought Alice, “to speak to this mouse?","[“would, it, be, of, any, use,, now,”, thought, alice,, “to, speak, to, this, mouse?]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"Everything is so out-of-the-way down here, that I should think very","[everything, is, so, out-of-the-way, down, here,, that, i, should, think, very]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
"likely it can talk: at any rate, there’s no harm in trying.” So she","[likely, it, can, talk:, at, any, rate,, there’s, no, harm, in, trying.”, so, she]","[67.0,14.0]","[0.8276122499827785,1.0384566305038794]"
"began: “O Mouse, do you know the way out of this pool? I am very tired","[began:, “o, mouse,, do, you, know, the, way, out, of, this, pool?, i, am, very, tired]","[70.0,16.0]","[0.9294415341483986,1.4023978677330722]"
"of swimming about here, O Mouse!” (Alice thought this must be the right","[of, swimming, about, here,, o, mouse!”, (alice, thought, this, must, be, the, right]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"way of speaking to a mouse: she had never done such a thing before, but","[way, of, speaking, to, a, mouse:, she, had, never, done, such, a, thing, before,, but]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"she remembered having seen in her brother’s Latin Grammar, “A mouse—of","[she, remembered, having, seen, in, her, brother’s, latin, grammar,, “a, mouse—of]","[70.0,11.0]","[0.9294415341483986,0.49254477466009]"
a mouse—to a mouse—a mouse—O mouse!”) The Mouse looked at her rather,"[a, mouse—to, a, mouse—a, mouse—o, mouse!”), the, mouse, looked, at, her, rather]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"inquisitively, and seemed to her to wink with one of its little eyes,","[inquisitively,, and, seemed, to, her, to, wink, with, one, of, its, little, eyes,]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
but it said nothing.,"[but, it, said, nothing.]","[20.0,4.0]","[-0.7677132019452694,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Perhaps it doesn’t understand English,” thought Alice; “I daresay it’s","[“perhaps, it, doesn’t, understand, english,”, thought, alice;, “i, daresay, it’s]","[71.0,10.0]","[0.963384628870272,0.31057415604549354]"
"a French mouse, come over with William the Conqueror.” (For, with all","[a, french, mouse,, come, over, with, william, the, conqueror.”, (for,, with, all]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
"her knowledge of history, Alice had no very clear notion how long ago","[her, knowledge, of, history,, alice, had, no, very, clear, notion, how, long, ago]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
anything had happened.) So she began again: “Où est ma chatte?” which,"[anything, had, happened.), so, she, began, again:, “où, est, ma, chatte?”, which]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
was the first sentence in her French lesson-book. The Mouse gave a,"[was, the, first, sentence, in, her, french, lesson-book., the, mouse, gave, a]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
"sudden leap out of the water, and seemed to quiver all over with","[sudden, leap, out, of, the, water,, and, seemed, to, quiver, all, over, with]","[64.0,13.0]","[0.7257829658171584,0.8564860118892829]"
"fright. “Oh, I beg your pardon!” cried Alice hastily, afraid that she","[fright., “oh,, i, beg, your, pardon!”, cried, alice, hastily,, afraid, that, she]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
had hurt the poor animal’s feelings. “I quite forgot you didn’t like,"[had, hurt, the, poor, animal’s, feelings., “i, quite, forgot, you, didn’t, like]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
cats.”,[cats.”],"[6.0,1.0]","[-1.2429165280514964,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Not like cats!” cried the Mouse, in a shrill, passionate voice. “Would","[“not, like, cats!”, cried, the, mouse,, in, a, shrill,, passionate, voice., “would]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
_you_ like cats if you were me?”,"[_you_, like, cats, if, you, were, me?”]","[32.0,7.0]","[-0.36039606528278906,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Well, perhaps not,” said Alice in a soothing tone: “don’t be angry","[“well,, perhaps, not,”, said, alice, in, a, soothing, tone:, “don’t, be, angry]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
about it. And yet I wish I could show you our cat Dinah: I think you’d,"[about, it., and, yet, i, wish, i, could, show, you, our, cat, dinah:, i, think, you’d]","[70.0,16.0]","[0.9294415341483986,1.4023978677330722]"
take a fancy to cats if you could only see her. She is such a dear,"[take, a, fancy, to, cats, if, you, could, only, see, her., she, is, such, a, dear]","[66.0,16.0]","[0.7936691552609052,1.4023978677330722]"
"quiet thing,” Alice went on, half to herself, as she swam lazily about","[quiet, thing,”, alice, went, on,, half, to, herself,, as, she, swam, lazily, about]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"in the pool, “and she sits purring so nicely by the fire, licking her","[in, the, pool,, “and, she, sits, purring, so, nicely, by, the, fire,, licking, her]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
paws and washing her face—and she is such a nice soft thing to,"[paws, and, washing, her, face—and, she, is, such, a, nice, soft, thing, to]","[62.0,13.0]","[0.6578967763734117,0.8564860118892829]"
"nurse—and she’s such a capital one for catching mice—oh, I beg your","[nurse—and, she’s, such, a, capital, one, for, catching, mice—oh,, i, beg, your]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"pardon!” cried Alice again, for this time the Mouse was bristling all","[pardon!”, cried, alice, again,, for, this, time, the, mouse, was, bristling, all]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
"over, and she felt certain it must be really offended. “We won’t talk","[over,, and, she, felt, certain, it, must, be, really, offended., “we, won’t, talk]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
about her any more if you’d rather not.”,"[about, her, any, more, if, you’d, rather, not.”]","[40.0,8.0]","[-0.08885130750780221,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“We indeed!” cried the Mouse, who was trembling down to the end of his","[“we, indeed!”, cried, the, mouse,, who, was, trembling, down, to, the, end, of, his]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
tail. “As if _I_ would talk on such a subject! Our family always,"[tail., “as, if, _i_, would, talk, on, such, a, subject!, our, family, always]","[64.0,13.0]","[0.7257829658171584,0.8564860118892829]"
"_hated_ cats: nasty, low, vulgar things! Don’t let me hear the name","[_hated_, cats:, nasty,, low,, vulgar, things!, don’t, let, me, hear, the, name]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
again!”,[again!”],"[7.0,1.0]","[-1.2089734333296231,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I won’t indeed!” said Alice, in a great hurry to change the subject of","[“i, won’t, indeed!”, said, alice,, in, a, great, hurry, to, change, the, subject, of]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
conversation. “Are you—are you fond—of—of dogs?” The Mouse did not,"[conversation., “are, you—are, you, fond—of—of, dogs?”, the, mouse, did, not]","[66.0,10.0]","[0.7936691552609052,0.31057415604549354]"
"answer, so Alice went on eagerly: “There is such a nice little dog near","[answer,, so, alice, went, on, eagerly:, “there, is, such, a, nice, little, dog, near]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"our house I should like to show you! A little bright-eyed terrier, you","[our, house, i, should, like, to, show, you!, a, little, bright-eyed, terrier,, you]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"know, with oh, such long curly brown hair! And it’ll fetch things when","[know,, with, oh,, such, long, curly, brown, hair!, and, it’ll, fetch, things, when]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"you throw them, and it’ll sit up and beg for its dinner, and all sorts","[you, throw, them,, and, it’ll, sit, up, and, beg, for, its, dinner,, and, all, sorts]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
"of things—I can’t remember half of them—and it belongs to a farmer, you","[of, things—i, can’t, remember, half, of, them—and, it, belongs, to, a, farmer,, you]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"know, and he says it’s so useful, it’s worth a hundred pounds! He says","[know,, and, he, says, it’s, so, useful,, it’s, worth, a, hundred, pounds!, he, says]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"it kills all the rats and—oh dear!” cried Alice in a sorrowful tone,","[it, kills, all, the, rats, and—oh, dear!”, cried, alice, in, a, sorrowful, tone,]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
“I’m afraid I’ve offended it again!” For the Mouse was swimming away,"[“i’m, afraid, i’ve, offended, it, again!”, for, the, mouse, was, swimming, away]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"from her as hard as it could go, and making quite a commotion in the","[from, her, as, hard, as, it, could, go,, and, making, quite, a, commotion, in, the]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
pool as it went.,"[pool, as, it, went.]","[16.0,4.0]","[-0.9034855808327629,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"So she called softly after it, “Mouse dear! Do come back again, and we","[so, she, called, softly, after, it,, “mouse, dear!, do, come, back, again,, and, we]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"won’t talk about cats or dogs either, if you don’t like them!” When the","[won’t, talk, about, cats, or, dogs, either,, if, you, don’t, like, them!”, when, the]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"Mouse heard this, it turned round and swam slowly back to her: its face","[mouse, heard, this,, it, turned, round, and, swam, slowly, back, to, her:, its, face]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"was quite pale (with passion, Alice thought), and it said in a low","[was, quite, pale, (with, passion,, alice, thought),, and, it, said, in, a, low]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
"trembling voice, “Let us get to the shore, and then I’ll tell you my","[trembling, voice,, “let, us, get, to, the, shore,, and, then, i’ll, tell, you, my]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"history, and you’ll understand why it is I hate cats and dogs.”","[history,, and, you’ll, understand, why, it, is, i, hate, cats, and, dogs.”]","[63.0,12.0]","[0.6918398710952851,0.6745153932746865]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"It was high time to go, for the pool was getting quite crowded with the","[it, was, high, time, to, go,, for, the, pool, was, getting, quite, crowded, with, the]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
birds and animals that had fallen into it: there were a Duck and a,"[birds, and, animals, that, had, fallen, into, it:, there, were, a, duck, and, a]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"Dodo, a Lory and an Eaglet, and several other curious creatures. Alice","[dodo,, a, lory, and, an, eaglet,, and, several, other, curious, creatures., alice]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"led the way, and the whole party swam to the shore.","[led, the, way,, and, the, whole, party, swam, to, the, shore.]","[51.0,11.0]","[0.28452273443280474,0.49254477466009]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
CHAPTER III.,"[chapter, iii.]","[12.0,2.0]","[-1.0392579597202563,-1.145190792871278]"
A Caucus-Race and a Long Tale,"[a, caucus-race, and, a, long, tale]","[29.0,6.0]","[-0.46222534944840915,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
