text,arrayWords,arrayFeatures,arrayScaledFeatures
CHAPTER XII.   Alice’s Evidence,"[, chapter, xii., , , alice’s, evidence]","[32.0,7.0]","[-0.36039606528278906,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
CHAPTER I.,"[chapter, i.]","[10.0,2.0]","[-1.107144149164003,-1.145190792871278]"
Down the Rabbit-Hole,"[down, the, rabbit-hole]","[20.0,3.0]","[-0.7677132019452694,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Alice was beginning to get very tired of sitting by her sister on the,"[alice, was, beginning, to, get, very, tired, of, sitting, by, her, sister, on, the]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"bank, and of having nothing to do: once or twice she had peeped into","[bank,, and, of, having, nothing, to, do:, once, or, twice, she, had, peeped, into]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"the book her sister was reading, but it had no pictures or","[the, book, her, sister, was, reading,, but, it, had, no, pictures, or]","[58.0,12.0]","[0.5221243974859183,0.6745153932746865]"
"conversations in it, “and what is the use of a book,” thought Alice","[conversations, in, it,, “and, what, is, the, use, of, a, book,”, thought, alice]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
“without pictures or conversations?”,"[“without, pictures, or, conversations?”]","[36.0,4.0]","[-0.22462368639529565,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"So she was considering in her own mind (as well as she could, for the","[so, she, was, considering, in, her, own, mind, (as, well, as, she, could,, for, the]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"hot day made her feel very sleepy and stupid), whether the pleasure of","[hot, day, made, her, feel, very, sleepy, and, stupid),, whether, the, pleasure, of]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
making a daisy-chain would be worth the trouble of getting up and,"[making, a, daisy-chain, would, be, worth, the, trouble, of, getting, up, and]","[65.0,12.0]","[0.7597260605390318,0.6745153932746865]"
"picking the daisies, when suddenly a White Rabbit with pink eyes ran","[picking, the, daisies,, when, suddenly, a, white, rabbit, with, pink, eyes, ran]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
close by her.,"[close, by, her.]","[13.0,3.0]","[-1.005314864998383,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
There was nothing so _very_ remarkable in that; nor did Alice think it,"[there, was, nothing, so, _very_, remarkable, in, that;, nor, did, alice, think, it]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"so _very_ much out of the way to hear the Rabbit say to itself, “Oh","[so, _very_, much, out, of, the, way, to, hear, the, rabbit, say, to, itself,, “oh]","[67.0,15.0]","[0.8276122499827785,1.2204272491184758]"
"dear! Oh dear! I shall be late!” (when she thought it over afterwards,","[dear!, oh, dear!, i, shall, be, late!”, (when, she, thought, it, over, afterwards,]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"it occurred to her that she ought to have wondered at this, but at the","[it, occurred, to, her, that, she, ought, to, have, wondered, at, this,, but, at, the]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
time it all seemed quite natural); but when the Rabbit actually _took a,"[time, it, all, seemed, quite, natural);, but, when, the, rabbit, actually, _took, a]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"watch out of its waistcoat-pocket_, and looked at it, and then hurried","[watch, out, of, its, waistcoat-pocket_,, and, looked, at, it,, and, then, hurried]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"on, Alice started to her feet, for it flashed across her mind that she","[on,, alice, started, to, her, feet,, for, it, flashed, across, her, mind, that, she]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"had never before seen a rabbit with either a waistcoat-pocket, or a","[had, never, before, seen, a, rabbit, with, either, a, waistcoat-pocket,, or, a]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"watch to take out of it, and burning with curiosity, she ran across the","[watch, to, take, out, of, it,, and, burning, with, curiosity,, she, ran, across, the]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"field after it, and fortunately was just in time to see it pop down a","[field, after, it,, and, fortunately, was, just, in, time, to, see, it, pop, down, a]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
large rabbit-hole under the hedge.,"[large, rabbit-hole, under, the, hedge.]","[34.0,5.0]","[-0.29250987583904237,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"In another moment down went Alice after it, never once considering how","[in, another, moment, down, went, alice, after, it,, never, once, considering, how]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
in the world she was to get out again.,"[in, the, world, she, was, to, get, out, again.]","[38.0,9.0]","[-0.15673749695154893,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The rabbit-hole went straight on like a tunnel for some way, and then","[the, rabbit-hole, went, straight, on, like, a, tunnel, for, some, way,, and, then]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"dipped suddenly down, so suddenly that Alice had not a moment to think","[dipped, suddenly, down,, so, suddenly, that, alice, had, not, a, moment, to, think]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
about stopping herself before she found herself falling down a very,"[about, stopping, herself, before, she, found, herself, falling, down, a, very]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
deep well.,"[deep, well.]","[10.0,2.0]","[-1.107144149164003,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Either the well was very deep, or she fell very slowly, for she had","[either, the, well, was, very, deep,, or, she, fell, very, slowly,, for, she, had]","[67.0,14.0]","[0.8276122499827785,1.0384566305038794]"
plenty of time as she went down to look about her and to wonder what,"[plenty, of, time, as, she, went, down, to, look, about, her, and, to, wonder, what]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
"was going to happen next. First, she tried to look down and make out","[was, going, to, happen, next., first,, she, tried, to, look, down, and, make, out]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"what she was coming to, but it was too dark to see anything; then she","[what, she, was, coming, to,, but, it, was, too, dark, to, see, anything;, then, she]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"looked at the sides of the well, and noticed that they were filled with","[looked, at, the, sides, of, the, well,, and, noticed, that, they, were, filled, with]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
cupboards and book-shelves; here and there she saw maps and pictures,"[cupboards, and, book-shelves;, here, and, there, she, saw, maps, and, pictures]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
hung upon pegs. She took down a jar from one of the shelves as she,"[hung, upon, pegs., she, took, down, a, jar, from, one, of, the, shelves, as, she]","[66.0,15.0]","[0.7936691552609052,1.2204272491184758]"
"passed; it was labelled “ORANGE MARMALADE”, but to her great","[passed;, it, was, labelled, “orange, marmalade”,, but, to, her, great]","[60.0,10.0]","[0.590010586929665,0.31057415604549354]"
disappointment it was empty: she did not like to drop the jar for fear,"[disappointment, it, was, empty:, she, did, not, like, to, drop, the, jar, for, fear]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"of killing somebody underneath, so managed to put it into one of the","[of, killing, somebody, underneath,, so, managed, to, put, it, into, one, of, the]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
cupboards as she fell past it.,"[cupboards, as, she, fell, past, it.]","[30.0,6.0]","[-0.4282822547265358,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Well!” thought Alice to herself, “after such a fall as this, I shall","[“well!”, thought, alice, to, herself,, “after, such, a, fall, as, this,, i, shall]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
think nothing of tumbling down stairs! How brave they’ll all think me,"[think, nothing, of, tumbling, down, stairs!, how, brave, they’ll, all, think, me]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
